codigo;nome;uf;estado
2641;JEQUITAI;MG;MINAS GERAIS
2642;JEQUITIBA;MG;MINAS GERAIS
2643;JEQUITINHONHA;MG;MINAS GERAIS
2034;JEREMOABO;BA;BAHIA
1332;JERICO;PB;PARAIBA
3545;JERIQUARA;SP;SÃO PAULO
3128;JERONIMO MONTEIRO;ES;ESPÍRITO SANTO
769;JERUMENHA;PI;PIAUI
2644;JESUANIA;MG;MINAS GERAIS
4079;JESUITAS;PR;PARANÁ
5391;JESUPOLIS;GO;GOIÁS
12;JI-PARANA;RO;RONDÔNIA
985;JIJOCA DE JERICOACOARA;CE;CEARA
2035;JIQUIRICA;BA;BAHIA
2036;JITAUNA;BA;BAHIA
4437;JOACABA;SC;SANTA CATARINA
2645;JOAIMA;MG;MINAS GERAIS
2646;JOANESIA;MG;MINAS GERAIS
3546;JOANOPOLIS;SP;SÃO PAULO
1552;JOAO ALFREDO;PE;PERNAMBUCO
1135;JOAO CAMARA;RN;RIO GRANDE DO NORTE
770;JOAO COSTA;PI;PIAUI
1136;JOAO DIAS;RN;RIO GRANDE DO NORTE
2037;JOAO DOURADO;BA;BAHIA
545;JOAO LISBOA;MA;MARANHÃO
2647;JOAO MONLEVADE;MG;MINAS GERAIS
3129;JOAO NEIVA;ES;ESPÍRITO SANTO
1333;JOAO PESSOA;PB;PARAIBA
2648;JOAO PINHEIRO;MG;MINAS GERAIS
3547;JOAO RAMALHO;SP;SÃO PAULO
2649;JOAQUIM FELICIO;MG;MINAS GERAIS
1686;JOAQUIM GOMES;AL;ALAGOAS
1553;JOAQUIM NABUCO;PE;PERNAMBUCO
771;JOAQUIM PIRES;PI;PIAUI
4080;JOAQUIM TAVORA;PR;PARANÁ
772;JOCA MARQUES;PI;PIAUI
4805;JOIA;RS;RIO GRANDE DO SUL
4438;JOINVILLE;SC;SANTA CATARINA
2650;JORDANIA;MG;MINAS GERAIS
