codigo;nome;uf;estado
4407;IBIAM;SC;SANTA CATARINA
960;IBIAPINA;CE;CEARA
1324;IBIARA;PB;PARAIBA
1967;IBIASSUCE;BA;BAHIA
1968;IBICARAI;BA;BAHIA
4408;IBICARE;SC;SANTA CATARINA
1969;IBICOARA;BA;BAHIA
1970;IBICUI;BA;BAHIA
961;IBICUITINGA;CE;CEARA
1533;IBIMIRIM;PE;PERNAMBUCO
1971;IBIPEBA;BA;BAHIA
1972;IBIPITANGA;BA;BAHIA
4043;IBIPORA;PR;PARANÁ
1973;IBIQUERA;BA;BAHIA
3480;IBIRA;SP;SÃO PAULO
2572;IBIRACATU;MG;MINAS GERAIS
2573;IBIRACI;MG;MINAS GERAIS
3119;IBIRACU;ES;ESPÍRITO SANTO
4779;IBIRAIARAS;RS;RIO GRANDE DO SUL
1534;IBIRAJUBA;PE;PERNAMBUCO
4409;IBIRAMA;SC;SANTA CATARINA
1974;IBIRAPITANGA;BA;BAHIA
1975;IBIRAPUA;BA;BAHIA
4780;IBIRAPUITA;RS;RIO GRANDE DO SUL
3481;IBIRAREMA;SP;SÃO PAULO
1976;IBIRATAIA;BA;BAHIA
2574;IBIRITE;MG;MINAS GERAIS
4781;IBIRUBA;RS;RIO GRANDE DO SUL
1977;IBITIARA;BA;BAHIA
3482;IBITINGA;SP;SÃO PAULO
3120;IBITIRAMA;ES;ESPÍRITO SANTO
1978;IBITITA;BA;BAHIA
2575;IBITIURA DE MINAS;MG;MINAS GERAIS
2576;IBITURUNA;MG;MINAS GERAIS
3483;IBIUNA;SP;SÃO PAULO
1979;IBOTIRAMA;BA;BAHIA
962;ICAPUI;CE;CEARA
4410;ICARA;SC;SANTA CATARINA
2577;ICARAI DE MINAS;MG;MINAS GERAIS
4044;ICARAIMA;PR;PARANÁ
536;ICATU;MA;MARANHÃO
3484;ICEM;SP;SÃO PAULO
1980;ICHU;BA;BAHIA
963;ICO;CE;CEARA
3121;ICONHA;ES;ESPÍRITO SANTO
